date,asopr
2025-01-26,1.01788502
2025-01-27,1.02274468
2025-01-28,1.03603452
2025-01-29,1.01451969
2025-01-30,1.03707185
2025-01-31,1.02243165
2025-02-01,1.01243844
2025-02-02,1.0011886
2025-02-03,1.00910678
2025-02-04,1.05306836
2025-02-05,1.0416552
2025-02-06,1.04024289
2025-02-07,1.01461064
2025-02-08,1.01242967
2025-02-09,1.08646845
2025-02-10,1.01347
2025-02-11,1.0266143
2025-02-12,1.00886714
2025-02-13,1.00790375
2025-02-14,1.01576602
2025-02-15,1.01593198
2025-02-16,1.00499269
2025-02-17,1.00619721
2025-02-18,1.01005136
2025-02-19,1.00739816
2025-02-20,1.01461503
2025-02-21,1.01519803
2025-02-22,1.02057487
2025-02-23,1.0087909
2025-02-24,1.01213901
2025-02-25,0.99567826
2025-02-26,0.98773113
2025-02-27,1.00324353
2025-02-28,0.97946305
2025-03-01,1.00103732
2025-03-02,1.02278954
2025-03-03,1.02003954
2025-03-04,0.98041148
2025-03-05,1.01429292
2025-03-06,1.04514394
2025-03-07,1.00277418
2025-03-08,1.00004918
2025-03-09,0.99663168
2025-03-10,0.99563548
2025-03-11,0.99872698
2025-03-12,1.01145267
2025-03-13,1.0012031
2025-03-14,1.01570595
2025-03-15,1.00859481
2025-03-16,1.00476244
2025-03-17,0.99671947
2025-03-18,1.00040272
2025-03-19,1.01853374
2025-03-20,1.02444648
2025-03-21,0.99452822
2025-03-22,1.02120058
2025-03-23,1.00818236
2025-03-24,1.02166297
2025-03-25,1.00744291
2025-03-26,1.01112809
2025-03-27,1.00738303
2025-03-28,1.03759412
2025-03-29,0.99296021
2025-03-30,0.99002259
2025-03-31,0.99375597
2025-04-01,0.99741278
2025-04-02,1.02831896
2025-04-03,1.04322078
2025-04-04,1.00863505
2025-04-05,1.00574477
2025-04-06,0.99918109
2025-04-07,0.99648064
2025-04-08,0.99751026
2025-04-09,1.00333959
2025-04-10,1.02001928
2025-04-11,1.0043376
2025-04-12,1.01801006
2025-04-13,1.02351649
2025-04-14,1.01895029
2025-04-15,0.98431001
2025-04-16,1.01035805
2025-04-17,0.95147438
2025-04-18,1.00924706
2025-04-19,1.00171932
2025-04-20,1.00696942
2025-04-21,1.02290694
2025-04-22,1.03473909
2025-04-23,1.06180802
2025-04-24,1.04110371
2025-04-25,1.07954985
2025-04-26,1.02777869
2025-04-27,1.01564408
2025-04-28,1.03647206
2025-04-29,1.04948876
2025-04-30,1.02731247
2025-05-01,1.03354919
2025-05-02,1.03881022
2025-05-03,1.01899258
2025-05-04,1.00451812
2025-05-05,1.05473947
2025-05-06,1.04280617
2025-05-07,1.03752146
2025-05-08,1.05172158
2025-05-09,1.05442263
2025-05-10,1.02012849
2025-05-11,1.02525661
2025-05-12,1.04088008
2025-05-13,1.05659564
2025-05-14,1.03137706
2025-05-15,1.05921652
2025-05-16,1.03674067
2025-05-17,1.01914597
2025-05-18,1.03121666
2025-05-19,1.05923945
2025-05-20,1.05047694
2025-05-21,1.07144984
2025-05-22,1.05787247
2025-05-23,1.03962719
2025-05-24,1.01458898
2025-05-25,1.02045695
2025-05-26,1.07844206
2025-05-27,1.08168329
2025-05-28,1.0331937
2025-05-29,1.05402517
2025-05-30,1.0226199
2025-05-31,1.00202568
2025-06-01,1.00796602
2025-06-02,1.05453498
2025-06-03,1.04530845
2025-06-04,1.03998548
2025-06-05,1.00549261
2025-06-06,1.01395624
2025-06-07,1.02379032
2025-06-08,1.02339782
2025-06-09,1.02400483
2025-06-10,1.03648313
2025-06-11,1.03046923
2025-06-12,1.01366411
2025-06-13,1.04145792
2025-06-14,1.01191693
2025-06-15,1.02898104
2025-06-16,1.05712641
2025-06-17,1.0066814
2025-06-18,1.02079689
2025-06-19,1.0194644
2025-06-20,1.01678782
2025-06-21,1.01229536
2025-06-22,1.01140458
2025-06-23,1.01722674
2025-06-24,1.03322991
2025-06-25,1.03712583
2025-06-26,1.06142719
2025-06-27,1.05996656
2025-06-28,1.01307141
2025-06-29,1.02398739
2025-06-30,1.06362109
2025-07-01,1.02494505
2025-07-02,1.03424159
2025-07-03,1.04173593
2025-07-04,1.31426034
2025-07-05,1.01097721
2025-07-06,1.0169341
2025-07-07,1.04908493
2025-07-08,1.06060467
2025-07-09,1.07867714
2025-07-10,1.0344811
2025-07-11,1.06178565
2025-07-12,1.05319743
2025-07-13,1.03005568
2025-07-14,1.06539052
2025-07-15,1.02605769
2025-07-16,1.0937787
2025-07-17,1.05825992
2025-07-18,1.03356897
2025-07-19,1.04772967
2025-07-20,1.01866105
2025-07-21,1.02457514
2025-07-22,1.05175239
2025-07-23,1.05427395
2025-07-24,1.03288392
2025-07-25,1.03601786
2025-07-26,1.01808672
2025-07-27,1.02125694
2025-07-28,1.03482134
2025-07-29,1.04822357
2025-07-30,1.034271
2025-07-31,1.02586179
2025-08-01,1.00642853
2025-08-02,1.00541359
2025-08-03,1.02185518
2025-08-04,1.01604848
2025-08-05,1.01812129
2025-08-06,1.00794763
2025-08-07,1.03600591
2025-08-08,1.02552281
2025-08-09,1.01100873
2025-08-10,1.01593767
2025-08-11,1.0210397
2025-08-12,1.02499774
2025-08-13,1.02720103
2025-08-14,1.0313826
2025-08-15,1.01701988
2025-08-16,1.119844
2025-08-17,1.00891604
2025-08-18,1.00058621
2025-08-19,1.02818756
2025-08-20,1.01122975
2025-08-21,1.01149872
2025-08-22,1.03033316
2025-08-23,1.01305608
2025-08-24,1.00538642
2025-08-25,1.00620131
2025-08-26,1.00711725
2025-08-27,1.01140804
2025-08-28,1.02481599
2025-08-29,1.08384552
2025-08-30,1.00702703
2025-08-31,1.00445997
2025-09-01,1.00954169
2025-09-02,1.01052987
2025-09-03,1.01046159
2025-09-04,1.01672634
2025-09-05,1.04451366
2025-09-06,1.00868797
2025-09-07,1.01235662
2025-09-08,1.01493177
2025-09-09,1.01056981
2025-09-10,1.01633988
2025-09-11,1.02392212
2025-09-12,1.02508224
2025-09-13,1.01645976
2025-09-14,1.01216334
2025-09-15,1.01777073
2025-09-16,1.0250192
2025-09-17,1.03391792
2025-09-18,1.02425799
2025-09-19,1.04979844
2025-09-20,1.01429259
2025-09-21,1.01505972
2025-09-22,0.99737004
