date,reserveRisk
2022-04-24,0.0011801684
2022-04-25,0.0011976628
2022-04-26,0.0011398991
2022-04-27,0.0011641021
2022-04-28,0.0011817218
2022-04-29,0.0011423561
2022-04-30,0.0011342733
2022-05-01,0.0011308076
2022-05-02,0.0011419378
2022-05-03,0.001115892
2022-05-04,0.0011702665
2022-05-05,0.0010734668
2022-05-06,0.0010569449
2022-05-07,0.0010340903
2022-05-08,0.001010464
2022-05-09,0.0009071929
2022-05-10,0.000887518
2022-05-11,0.0008518478
2022-05-12,0.0008313466
2022-05-13,0.0008786503
2022-05-14,0.000866931
2022-05-15,0.0009063319
2022-05-16,0.0008752891
2022-05-17,0.0008891139
2022-05-18,0.0008498346
2022-05-19,0.0008797102
2022-05-20,0.0008476712
2022-05-21,0.0008522092
2022-05-22,0.0008698115
2022-05-23,0.0008501193
2022-05-24,0.0008555683
2022-05-25,0.0008623143
2022-05-26,0.0008528
2022-05-27,0.0008283617
2022-05-28,0.0008368407
2022-05-29,0.0008416953
2022-05-30,0.0009151806
2022-05-31,0.0009114203
2022-06-01,0.0008517281
2022-06-02,0.0008716499
2022-06-03,0.0008548369
2022-06-04,0.0008525836
2022-06-05,0.0008556113
2022-06-06,0.0009019386
2022-06-07,0.0008973997
2022-06-08,0.0008655844
2022-06-09,0.0008620564
2022-06-10,0.0008345863
