date,realizedLossUsd
2024-10-27,11305248.15
2024-10-28,20799289.25
2024-10-29,34323245.06
2024-10-30,74099025.8
2024-10-31,166038597.59
2024-11-01,333916873.52
2024-11-02,43474379.97
2024-11-03,100102681.88
2024-11-04,200518087.2
2024-11-05,133604651.77
2024-11-06,84064251.91
2024-11-07,69242416.73
2024-11-08,50643797.41
2024-11-09,28411653.13
2024-11-10,50412653.46
2024-11-11,44714626.94
2024-11-12,286856619.53
2024-11-13,290992406.91
2024-11-14,339062376.63
2024-11-15,229263580.54
2024-11-16,39441263.14
2024-11-17,81766054.9
2024-11-18,128555566.92
2024-11-19,91543347.11
2024-11-20,63764863.01
2024-11-21,58662704.74
2024-11-22,76388781.69
2024-11-23,94555844.66
2024-11-24,149847364.84
2024-11-25,448640187.87
2024-11-26,890750200.21
2024-11-27,137487359.92
2024-11-28,125169010.59
2024-11-29,101554169.22
2024-11-30,61428755.56
2024-12-01,38642465.5
2024-12-02,290270813.63
2024-12-03,208717380.26
2024-12-04,125054141.79
2024-12-05,379467095.36
2024-12-06,490615297.51
2024-12-07,78758182.65
2024-12-08,41947355.68
2024-12-09,382151606.72
2024-12-10,362634272.25
2024-12-11,114450756.54
2024-12-12,105104571.92
2024-12-13,107075209.73
2024-12-14,32080987.51
2024-12-15,31230087.07
2024-12-16,87953566.77
2024-12-17,97239447.84
2024-12-18,491675437.14
2024-12-19,741282067.71
2024-12-20,990232750.46
2024-12-21,173742833.0
2024-12-22,177720539.55
2024-12-23,863476897.84
2024-12-24,294981200.35
2024-12-25,73199949.94
2024-12-26,385101623.48
2024-12-27,328347432.57
2024-12-28,107246219.54
2024-12-29,159663781.14
2024-12-30,626776265.65
2024-12-31,545940806.38
2025-01-01,96476557.79
2025-01-02,97639567.02
2025-01-03,100381757.96
2025-01-04,40231937.77
2025-01-05,39818474.22
2025-01-06,132905470.71
2025-01-07,371407749.08
2025-01-08,701285170.63
2025-01-09,686678555.73
2025-01-10,543642378.69
2025-01-11,97344573.16
2025-01-12,77939151.12
2025-01-13,342334293.07
2025-01-14,103271928.69
2025-01-15,82396123.82
2025-01-16,153146425.92
2025-01-17,59233615.69
2025-01-18,146518712.04
2025-01-19,141393511.36
2025-01-20,398787981.58
2025-01-21,292719650.98
2025-01-22,246810318.18
2025-01-23,358818759.63
2025-01-24,84253043.04
2025-01-25,39935946.33
2025-01-26,61410049.53
2025-01-27,620217305.51
2025-01-28,132215362.48
2025-01-29,158485997.56
2025-01-30,49616056.61
2025-01-31,252610156.34
2025-02-01,198324930.27
2025-02-02,462896978.58
2025-02-03,1301709546.45
2025-02-04,529063045.87
2025-02-05,602605731.15
2025-02-06,324702258.24
2025-02-07,327620613.55
2025-02-08,141057303.38
2025-02-09,82326416.12
2025-02-10,201936488.61
2025-02-11,308877719.74
2025-02-12,274717144.95
2025-02-13,234537217.52
2025-02-14,191047396.57
2025-02-15,37745646.88
2025-02-16,83935079.34
2025-02-17,160403589.55
2025-02-18,265847079.85
2025-02-19,163062336.25
2025-02-20,66379985.73
2025-02-21,299212078.53
2025-02-22,121687817.0
2025-02-23,71544708.86
2025-02-24,322848231.36
2025-02-25,1830537331.18
2025-02-26,1880773392.05
2025-02-27,904908118.44
2025-02-28,1683487358.54
2025-03-01,473124930.25
2025-03-02,365049878.73
2025-03-03,802667234.46
2025-03-04,1162274139.31
2025-03-05,365526002.77
2025-03-06,318353195.61
2025-03-07,836532760.26
2025-03-08,177821741.76
2025-03-09,328844017.77
2025-03-10,1355213909.79
2025-03-11,1178930411.39
2025-03-12,682232809.57
2025-03-13,504894778.45
2025-03-14,370580950.93
2025-03-15,63109936.97
2025-03-16,199502201.58
2025-03-17,481117761.6
2025-03-18,403744962.43
2025-03-19,210870274.17
2025-03-20,299586711.15
2025-03-21,331782549.52
2025-03-22,59346786.28
2025-03-23,68366625.32
2025-03-24,152176327.29
2025-03-25,480951652.66
2025-03-26,270185089.83
2025-03-27,273183822.55
2025-03-28,459949625.78
2025-03-29,310156250.62
2025-03-30,367575331.05
2025-03-31,716949393.81
2025-04-01,488070717.69
2025-04-02,455701103.16
2025-04-03,541426512.69
2025-04-04,404718755.45
2025-04-05,117118271.05
2025-04-06,278858995.36
2025-04-07,1435143060.26
2025-04-08,537252756.63
2025-04-09,798571897.16
