date,nrplBtc
2013-01-08,4560.5785388
2013-01-09,4798.5866612
2013-01-10,5201.4349332
2013-01-11,5029.962098
2013-01-12,4592.8297691
2013-01-13,4476.4591389
2013-01-14,4360.4173888
2013-01-15,4215.7962852
2013-01-16,4159.4101142
2013-01-17,4301.7210521
2013-01-18,4352.530588
2013-01-19,4186.5343502
2013-01-20,4011.4718318
2013-01-21,4106.4029556
2013-01-22,5535.2385565
2013-01-23,5232.0210512
2013-01-24,5813.6613613
2013-01-25,5720.4398013
2013-01-26,5250.7384731
2013-01-27,5954.1446217
2013-01-28,5769.554634
2013-01-29,6433.6064115
2013-01-30,7333.1205029
2013-01-31,7583.4365191
2013-02-01,10116.2389353
2013-02-02,9881.8162477
2013-02-03,8908.4921532
2013-02-04,8629.2977036
2013-02-05,8203.8992464
2013-02-06,7426.9066808
2013-02-07,6975.4229419
2013-02-08,6726.0553324
2013-02-09,6785.0545322
2013-02-10,6161.9830917
2013-02-11,5820.9841377
2013-02-12,5514.5882975
2013-02-13,5359.8617368
2013-02-14,5059.4864761
2013-02-15,5671.9341297
2013-02-16,5292.1750898
2013-02-17,4916.9751403
2013-02-18,4747.3068255
2013-02-19,4540.6229395
2013-02-20,4571.5377469
2013-02-21,4145.5486592
2013-02-22,3891.9057164
2013-02-23,3639.5841479
2013-02-24,9993.9913034
2013-02-25,29170.2763808
2013-02-26,36554.4157629
2013-02-27,36077.8794138
2013-02-28,41486.652482
2013-03-01,40852.8202578
2013-03-02,38395.9251534
2013-03-03,35468.4722835
2013-03-04,34976.5526369
2013-03-05,35473.0672935
2013-03-06,37511.5671766
2013-03-07,38082.4873002
2013-03-08,35299.7100886
2013-03-09,33419.8206951
2013-03-10,30681.2310256
2013-03-11,28326.6839536
2013-03-12,27648.8717455
2013-03-13,46866.3473934
2013-03-14,56342.6129113
2013-03-15,62681.7199138
2013-03-16,62564.6648438
2013-03-17,61005.1344196
2013-03-18,58578.5526634
2013-03-19,57269.9737517
2013-03-20,56449.9502001
2013-03-21,60217.7116945
2013-03-22,62410.8969674
2013-03-23,71215.182837
2013-03-24,71535.1494788
2013-03-25,76966.9112505
2013-03-26,73947.7116219
2013-03-27,72026.4741026
2013-03-28,73487.144442
2013-03-29,72624.0055237
2013-03-30,72770.8669992
2013-03-31,70518.6428773
2013-04-01,76884.5179482
2013-04-02,80707.244837
2013-04-03,91004.8869196
2013-04-04,88259.6354708
2013-04-05,96323.7556259
2013-04-06,92447.5567615
2013-04-07,87212.7519936
2013-04-08,87638.6274212
2013-04-09,98993.0685304
2013-04-10,133336.5120154
2013-04-11,185655.9528043
2013-04-12,203461.5468702
2013-04-13,186045.4780424
2013-04-14,172674.8818885
2013-04-15,166332.9409146
2013-04-16,176963.9276131
2013-04-17,163705.2478522
2013-04-18,146114.8776215
2013-04-19,135352.7106162
2013-04-20,122818.5957391
2013-04-21,111806.5142759
